GS,3PA,MP,3P,FG,BLK,2P,3PAr,2PA,PTS,ORB,G,FGA,PF,DRB,seasons,height,weight,Position__C,Position__C-PF,Position__C-SF,Position__PF,Position__PF-C,Position__PF-SF,Position__PG,Position__PG-SG,Position__SF,Position__SF-PF,Position__SF-SG,Position__SG,Position__SG-PG,Position__SG-SF,Salary
0.012195121951219513,0.0012690355329949238,0.08067602040816325,0.0,0.029126213592233007,0.1261682242990654,0.03287671232876713,0.037234042553191495,0.036619718309859155,0.020727414939382086,0.043478260869565216,0.36585365853658536,0.02733367715317174,0.15727002967359052,0.041615667074663396,1,218.0,108.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,239676.0
0.03658536585365854,0.07994923857868019,0.3469387755102041,0.06481481481481481,0.14199029126213591,0.04205607476635514,0.1315068493150685,0.28297872340425534,0.12323943661971831,0.13140398904966757,0.08985507246376812,0.8658536585365854,0.12274368231046932,0.33234421364985167,0.11872705018359853,1,190.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,940269.0
0.012195121951219513,0.01015228426395939,0.07940051020408162,0.009259259259259259,0.025485436893203883,0.014018691588785045,0.024657534246575342,0.16170212765957445,0.03450704225352113,0.02190066484161126,0.057971014492753624,0.4268292682926829,0.029396596183599792,0.17210682492581603,0.05752753977968176,1,213.0,113.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,184366.0
0.0,0.0,0.024553571428571428,0.0,0.01820388349514563,0.018691588785046728,0.02054794520547945,0.022340425531914895,0.03028169014084507,0.015252248728979274,0.017391304347826087,0.32926829268292684,0.0221763795771016,0.05934718100890208,0.01835985312117503,1,216.0,97.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,414824.0
0.0,0.0,0.014349489795918366,0.0030864197530864196,0.00849514563106796,0.018691588785046728,0.008219178082191782,0.037234042553191495,0.01830985915492958,0.006257332811888932,0.008695652173913044,0.14634146341463414,0.013408973697782363,0.01483679525222552,0.008567931456548347,1,208.0,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,553099.0
0.0,0.017766497461928932,0.08195153061224489,0.009259259259259259,0.023058252427184463,0.009345794392523364,0.021917808219178082,0.22340425531914895,0.03873239436619719,0.025420414548298784,0.020289855072463767,0.5731707317073171,0.03558535327488396,0.11572700296735905,0.028151774785801713,1,190.0,86.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,221240.0
0.3048780487804878,0.0038071065989847713,0.43845663265306123,0.0030864197530864196,0.24514563106796114,0.06542056074766354,0.27534246575342464,0.008510638297872342,0.3211267605633803,0.18068048494329292,0.8115942028985508,0.7439024390243902,0.2367199587416194,0.56973293768546,0.3647490820073439,1,198.0,104.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,921832.0
0.0,0.021573604060913704,0.04751275510204081,0.015432098765432098,0.0279126213592233,0.004672897196261682,0.024657534246575342,0.30744680851063827,0.03028169014084507,0.02229174814235432,0.028985507246376812,0.3780487804878049,0.030943785456420833,0.08308605341246292,0.017135862913096694,1,206.0,102.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,414824.0
0.08536585365853659,0.0025380710659898475,0.21715561224489793,0.0,0.1128640776699029,0.06542056074766354,0.1273972602739726,0.015957446808510637,0.1288732394366197,0.09816190848650762,0.16231884057971013,0.6707317073170732,0.09541000515729758,0.27002967359050445,0.13341493268053856,1,211.0,108.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1428839.0
0.3170731707317073,0.11040609137055836,0.42283163265306123,0.08333333333333333,0.25970873786407767,0.14485981308411214,0.25616438356164384,0.18404255319148935,0.2943661971830986,0.2041454829878764,0.1536231884057971,0.8902439024390244,0.26044352759154205,0.3086053412462908,0.09547123623011015,1,196.0,88.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,387169.0
0.7317073170731707,0.03045685279187817,0.5845025510204082,0.018518518518518517,0.279126213592233,0.05607476635514018,0.30684931506849317,0.052127659574468084,0.33098591549295775,0.2377786468517794,0.1072463768115942,0.7804878048780488,0.25477050025786485,0.5044510385756676,0.16523867809057527,1,185.0,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,184366.0
0.012195121951219513,0.03553299492385787,0.1613520408163265,0.021604938271604937,0.1262135922330097,0.02336448598130841,0.13287671232876713,0.13297872340425532,0.1415492957746479,0.10520140789988267,0.057971014492753624,0.5731707317073171,0.1181021144920062,0.228486646884273,0.042839657282741736,1,188.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55310.0
0.012195121951219513,0.05583756345177665,0.40848214285714285,0.046296296296296294,0.22694174757281552,0.06074766355140186,0.2356164383561644,0.1148936170212766,0.2577464788732394,0.21118498240125144,0.13333333333333333,0.926829268292683,0.21144920061887573,0.3857566765578635,0.1591187270501836,1,198.0,99.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1843664.0
0.0,0.0,0.009885204081632652,0.0,0.003640776699029126,0.0,0.004109589041095891,0.08723404255319149,0.007042253521126761,0.0043019163081736405,0.002898550724637681,0.060975609756097573,0.005157297576070139,0.002967359050445104,0.0024479804161566705,1,190.0,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55310.0
0.0,0.005076142131979695,0.11065051020408162,0.0,0.0424757281553398,0.018691588785046728,0.04794520547945205,0.06595744680851064,0.05140845070422535,0.02854908095424325,0.017391304347826087,0.4878048780487805,0.039711191335740074,0.026706231454005934,0.033047735618115054,1,198.0,95.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,921832.0
0.04878048780487805,0.0012690355329949238,0.3408801020408163,0.0,0.13713592233009708,0.10747663551401869,0.1547945205479452,0.008510638297872342,0.15845070422535212,0.11224090731325773,0.2144927536231884,0.8658536585365854,0.11655492521918516,0.33234421364985167,0.18849449204406363,1,208.0,102.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1133853.0
0.5365853658536586,0.17005076142131978,0.6160714285714285,0.1419753086419753,0.35800970873786403,0.29906542056074764,0.3410958904109589,0.20638297872340425,0.39084507042253525,0.31325772389518963,0.3130434782608696,0.926829268292683,0.3553378029912326,0.6468842729970327,0.40758873929008566,1,211.0,104.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2949862.0
0.5609756097560976,0.0038071065989847713,0.46970663265306123,0.0,0.24878640776699026,0.22429906542056072,0.2808219178082192,0.009574468085106383,0.2859154929577465,0.194759483770043,0.34782608695652173,0.8780487804878049,0.2109334708612687,0.47774480712166173,0.23500611995104037,1,201.0,88.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,737465.0
0.9878048780487805,0.1814720812182741,0.9397321428571428,0.16049382716049382,0.7075242718446602,0.16355140186915887,0.7273972602739726,0.12127659574468086,0.7760563380281691,0.5901447008212748,0.2,0.975609756097561,0.6420835482207324,0.685459940652819,0.19583843329253364,1,201.0,86.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1410403.0
0.0,0.04314720812182741,0.06919642857142856,0.046296296296296294,0.05218446601941747,0.0,0.038356164383561646,0.34680851063829793,0.05,0.043410246382479464,0.008695652173913044,0.2804878048780488,0.05415162454873646,0.032640949554896145,0.007343941248470012,1,188.0,77.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,617627.0
0.0,0.0,0.002551020408163265,0.0,0.0012135922330097086,0.004672897196261682,0.0013698630136986301,0.2648936170212766,0.0014084507042253524,0.0015643332029722332,0.0,0.012195121951219513,0.0010314595152140279,0.008902077151335312,0.0,1,190.0,81.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,580754.0
0.5609756097560976,0.0,0.6667729591836734,0.0,0.23665048543689318,0.5654205607476636,0.2671232876712329,0.0021276595744680847,0.26690140845070426,0.22330856472428626,0.7884057971014493,0.975609756097561,0.19546157813305828,1.0,0.4516523867809057,1,213.0,120.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1972720.0
0.012195121951219513,0.0,0.09948979591836733,0.0,0.03398058252427184,0.018691588785046728,0.038356164383561646,0.012765957446808512,0.05140845070422535,0.026202581149784902,0.12173913043478261,0.6219512195121951,0.037648272305312015,0.13353115727002968,0.0452876376988984,1,198.0,96.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,276550.0
0.0,0.0012690355329949238,0.21364795918367344,0.0,0.09101941747572814,0.03271028037383177,0.10273972602739725,0.009574468085106383,0.1330985915492958,0.07978099335158388,0.07246376811594203,0.7682926829268293,0.09798865394533265,0.29080118694362017,0.06487148102815177,1,198.0,81.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,230458.0
0.0,0.0,0.10682397959183672,0.0,0.0424757281553398,0.04672897196261682,0.04794520547945205,0.011702127659574468,0.05704225352112677,0.029722330856472426,0.1246376811594203,0.5,0.04177411036616813,0.10385756676557864,0.06976744186046512,1,203.0,120.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,507008.0
0.012195121951219513,0.0,0.2353316326530612,0.0,0.0691747572815534,0.2850467289719626,0.07808219178082192,0.006382978723404255,0.10070422535211268,0.05709816190848651,0.1565217391304348,0.8048780487804879,0.073749355337803,0.3560830860534125,0.16401468788249693,1,208.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2028030.0
0.0,0.027918781725888322,0.07270408163265306,0.021604938271604937,0.07160194174757281,0.004672897196261682,0.07123287671232877,0.2085106382978723,0.06549295774647888,0.05866249511145874,0.028985507246376812,0.4024390243902439,0.0593089221248066,0.032640949554896145,0.017135862913096694,1,188.0,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,460916.0
0.012195121951219513,0.025380710659898473,0.1846301020408163,0.015432098765432098,0.12014563106796115,0.037383177570093455,0.12876712328767123,0.09787234042553193,0.14295774647887324,0.09503324208056316,0.11884057971014493,0.5,0.11500773594636411,0.26112759643916916,0.09302325581395349,1,203.0,98.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,921832.0
0.03658536585365854,0.0,0.10554846938775508,0.0,0.05218446601941747,0.03271028037383177,0.0589041095890411,0.011702127659574468,0.05563380281690141,0.04301916308173641,0.09855072463768116,0.5609756097560976,0.0407426508509541,0.2166172106824926,0.07588739290085679,2,206.0,106.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92183.0
0.0,0.019035532994923856,0.06568877551020408,0.006172839506172839,0.03155339805825243,0.009345794392523364,0.03287671232876713,0.27765957446808515,0.030985915492957747,0.02463824794681267,0.011594202898550725,0.45121951219512196,0.030428055698813822,0.10385756676557864,0.019583843329253364,1,193.0,86.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,672937.0
0.0,0.0012690355329949238,0.013392857142857144,0.0,0.009708737864077669,0.004672897196261682,0.010958904109589041,0.09999999999999999,0.01267605633802817,0.006257332811888932,0.005797101449275362,0.07317073170731708,0.009798865394533266,0.011869436201780416,0.0024479804161566705,1,190.0,81.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,138275.0
0.024390243902439025,0.17385786802030456,0.3179209183673469,0.14814814814814814,0.2111650485436893,0.03271028037383177,0.1726027397260274,0.32872340425531915,0.2154929577464789,0.167774736018772,0.04927536231884058,0.9024390243902439,0.22846828261990718,0.2967359050445104,0.08935128518971848,1,193.0,86.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1567114.0
0.0,0.0,0.011160714285714286,0.0,0.007281553398058252,0.0,0.008219178082191782,0.08723404255319149,0.007042253521126761,0.007430582714118107,0.011594202898550725,0.12195121951219513,0.005157297576070139,0.032640949554896145,0.006119951040391676,3,211.0,106.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,737465.0
